FIPS,State,County,Frequent Physical Distress % Frequent Physical Distress,Frequent Physical Distress 95% CI - Low,Frequent Physical Distress 95% CI - High,Frequent Mental Distress % Frequent Mental Distress,Frequent Mental Distress 95% CI - Low,Frequent Mental Distress 95% CI - High
1000,Alabama,,12,11,14,20,18,21
1001,Alabama,Autauga,12,10,14,18,16,21
1003,Alabama,Baldwin,11,9,13,17,15,20
1005,Alabama,Barbour,16,14,18,20,18,23
1007,Alabama,Bibb,14,12,16,19,17,22
1009,Alabama,Blount,13,11,15,19,16,22
1011,Alabama,Bullock,17,14,19,20,18,23
1013,Alabama,Butler,14,12,16,20,17,23
1015,Alabama,Calhoun,14,12,16,19,16,22
1017,Alabama,Chambers,14,12,16,20,17,22
1019,Alabama,Cherokee,14,12,16,20,17,23
1021,Alabama,Chilton,14,12,16,20,17,23
1023,Alabama,Choctaw,15,12,17,20,18,23
1025,Alabama,Clarke,14,12,16,20,17,22
1027,Alabama,Clay,14,12,16,20,17,23
1029,Alabama,Cleburne,14,12,16,20,17,23
1031,Alabama,Coffee,13,11,15,19,16,21
1033,Alabama,Colbert,13,11,15,19,16,22
1035,Alabama,Conecuh,15,13,17,20,17,23
1037,Alabama,Coosa,13,11,15,19,16,22
1039,Alabama,Covington,14,12,16,20,17,23
1041,Alabama,Crenshaw,14,12,16,20,17,22
1043,Alabama,Cullman,13,11,15,19,16,22
1045,Alabama,Dale,13,11,15,19,17,22
1047,Alabama,Dallas,15,13,17,20,18,23
1049,Alabama,DeKalb,15,13,17,21,18,24
1051,Alabama,Elmore,12,10,14,18,16,20
1053,Alabama,Escambia,16,14,18,21,18,24
1055,Alabama,Etowah,13,11,15,20,17,23
1057,Alabama,Fayette,14,12,17,21,18,24
1059,Alabama,Franklin,15,13,17,20,17,23
1061,Alabama,Geneva,15,13,17,21,18,24
1063,Alabama,Greene,18,15,20,22,19,25
1065,Alabama,Hale,15,13,17,20,18,23
1067,Alabama,Henry,13,11,15,19,16,22
1069,Alabama,Houston,13,11,15,19,16,22
1071,Alabama,Jackson,14,12,16,20,17,23
1073,Alabama,Jefferson,12,10,13,18,16,20
1075,Alabama,Lamar,14,12,16,20,17,23
1077,Alabama,Lauderdale,12,10,14,18,16,21
1079,Alabama,Lawrence,14,12,16,20,17,23
1081,Alabama,Lee,12,10,14,17,15,20
1083,Alabama,Limestone,11,10,13,18,15,20
1085,Alabama,Lowndes,15,13,18,20,18,23
1087,Alabama,Macon,14,12,16,20,17,22
1089,Alabama,Madison,10,9,12,16,14,19
1091,Alabama,Marengo,14,12,16,20,17,22
1093,Alabama,Marion,14,12,16,20,17,23
1095,Alabama,Marshall,13,11,15,20,17,22
1097,Alabama,Mobile,13,12,15,20,17,22
1099,Alabama,Monroe,15,13,17,21,18,24
1101,Alabama,Montgomery,13,11,15,18,16,21
1103,Alabama,Morgan,13,11,14,19,17,22
1105,Alabama,Perry,18,15,20,22,19,25
1107,Alabama,Pickens,15,13,17,20,17,23
1109,Alabama,Pike,13,12,16,19,17,22
1111,Alabama,Randolph,13,12,16,20,17,23
1113,Alabama,Russell,14,12,16,20,17,22
1115,Alabama,St. Clair,12,10,14,18,16,21
1117,Alabama,Shelby,9,8,11,16,13,18
1119,Alabama,Sumter,15,13,18,20,18,23
1121,Alabama,Talladega,14,12,16,20,18,23
1123,Alabama,Tallapoosa,13,12,16,19,16,22
1125,Alabama,Tuscaloosa,12,10,14,18,16,21
1127,Alabama,Walker,14,12,16,20,18,23
1129,Alabama,Washington,15,13,17,20,18,23
1131,Alabama,Wilcox,17,14,19,21,19,24
1133,Alabama,Winston,14,12,17,20,18,23
2000,Alaska,,11,10,13,14,13,16
2013,Alaska,Aleutians East,11,10,13,13,11,15
2016,Alaska,Aleutians West,10,8,11,12,11,14
2020,Alaska,Anchorage,10,9,12,14,13,16
2050,Alaska,Bethel,20,17,22,21,19,24
2060,Alaska,Bristol Bay,11,10,13,15,13,18
2063,Alaska,Chugach,10,9,11,15,13,16
2066,Alaska,Copper River,12,11,13,16,14,18
2068,Alaska,Denali,11,9,13,15,13,17
2070,Alaska,Dillingham,16,14,18,19,16,22
2090,Alaska,Fairbanks North Star,10,9,12,14,13,16
2100,Alaska,Haines,12,10,14,17,14,19
2105,Alaska,Hoonah-Angoon,13,11,14,17,15,19
2110,Alaska,Juneau,10,8,11,14,12,16
2122,Alaska,Kenai Peninsula,12,10,13,16,14,18
2130,Alaska,Ketchikan Gateway,10,9,12,15,13,18
2150,Alaska,Kodiak Island,10,8,11,14,12,16
2158,Alaska,Kusilvak,23,20,26,25,22,28
2164,Alaska,Lake and Peninsula,14,12,16,18,16,20
2170,Alaska,Matanuska-Susitna,12,10,14,16,14,18
2180,Alaska,Nome,16,14,19,19,16,22
2185,Alaska,North Slope,12,11,14,16,14,18
2188,Alaska,Northwest Arctic,17,15,19,19,17,22
2195,Alaska,Petersburg,11,9,12,15,13,18
2198,Alaska,Prince of Wales-Hyder,14,12,16,18,16,20
2201,Alaska,Prince of Wales-Outer Ketchikan,,,,,,
2220,Alaska,Sitka,10,9,12,15,13,17
2230,Alaska,Skagway,10,9,12,15,13,18
2232,Alaska,Skagway-Hoonah-Angoon,,,,,,
2240,Alaska,Southeast Fairbanks,12,10,13,16,14,18
2261,Alaska,Valdez-Cordova,,,,,,
2270,Alaska,Wade Hampton,,,,,,
2275,Alaska,Wrangell,13,11,14,17,15,20
2280,Alaska,Wrangell-Petersburg,,,,,,
2282,Alaska,Yakutat,12,11,14,16,14,19
2290,Alaska,Yukon-Koyukuk,16,14,19,20,17,22
4000,Arizona,,11,10,12,16,15,17
4001,Arizona,Apache,18,16,20,23,20,26
4003,Arizona,Cochise,12,10,13,16,14,18
4005,Arizona,Coconino,12,10,13,17,15,20
4007,Arizona,Gila,13,12,15,19,17,22
4009,Arizona,Graham,13,11,15,18,15,20
4011,Arizona,Greenlee,11,10,12,16,14,18
4012,Arizona,La Paz,14,12,16,18,16,21
4013,Arizona,Maricopa,10,9,12,16,15,18
4015,Arizona,Mohave,13,11,15,18,16,21
4017,Arizona,Navajo,15,13,17,20,18,22
4019,Arizona,Pima,11,10,13,17,15,19
4021,Arizona,Pinal,12,10,14,16,14,18
4023,Arizona,Santa Cruz,14,12,16,17,14,20
4025,Arizona,Yavapai,11,10,13,18,15,20
4027,Arizona,Yuma,14,12,16,16,14,19
5000,Arkansas,,13,12,15,19,17,21
5001,Arkansas,Arkansas,14,12,16,19,17,22
5003,Arkansas,Ashley,16,14,18,21,18,24
5005,Arkansas,Baxter,14,12,16,20,17,23
5007,Arkansas,Benton,11,10,13,16,14,19
5009,Arkansas,Boone,14,12,16,19,16,22
5011,Arkansas,Bradley,15,13,17,20,17,22
5013,Arkansas,Calhoun,13,11,15,18,16,21
5015,Arkansas,Carroll,13,11,15,18,15,20
5017,Arkansas,Chicot,17,15,19,21,18,24
5019,Arkansas,Clark,14,12,15,19,16,21
5021,Arkansas,Clay,15,13,17,20,18,23
5023,Arkansas,Cleburne,14,12,16,19,17,22
5025,Arkansas,Cleveland,14,12,16,19,17,22
5027,Arkansas,Columbia,15,13,17,20,17,23
5029,Arkansas,Conway,14,12,17,20,17,23
5031,Arkansas,Craighead,13,11,15,18,16,21
5033,Arkansas,Crawford,14,12,17,20,17,22
5035,Arkansas,Crittenden,15,13,17,20,17,23
5037,Arkansas,Cross,15,13,17,20,18,23
5039,Arkansas,Dallas,14,12,16,19,17,22
5041,Arkansas,Desha,17,14,19,21,18,24
5043,Arkansas,Drew,14,12,16,19,17,22
5045,Arkansas,Faulkner,12,10,14,18,15,20
5047,Arkansas,Franklin,16,14,18,21,18,24
5049,Arkansas,Fulton,16,14,19,21,19,24
5051,Arkansas,Garland,13,11,15,19,16,22
5053,Arkansas,Grant,13,11,15,19,16,21
5055,Arkansas,Greene,14,12,16,19,17,22
5057,Arkansas,Hempstead,15,13,17,20,17,22
5059,Arkansas,Hot Spring,14,12,16,19,16,21
5061,Arkansas,Howard,14,13,16,20,17,22
5063,Arkansas,Independence,14,12,16,20,17,22
5065,Arkansas,Izard,15,12,17,20,17,23
5067,Arkansas,Jackson,15,13,18,20,18,23
5069,Arkansas,Jefferson,14,12,16,19,17,22
5071,Arkansas,Johnson,16,13,18,21,18,24
5073,Arkansas,Lafayette,17,14,19,21,18,24
5075,Arkansas,Lawrence,15,13,17,20,18,23
5077,Arkansas,Lee,17,15,19,20,18,23
5079,Arkansas,Lincoln,14,13,17,18,16,21
5081,Arkansas,Little River,13,12,15,19,16,22
5083,Arkansas,Logan,14,12,16,20,17,22
5085,Arkansas,Lonoke,12,11,14,19,16,21
5087,Arkansas,Madison,14,12,17,20,17,23
5089,Arkansas,Marion,15,12,17,20,18,24
5091,Arkansas,Miller,14,13,17,20,17,23
5093,Arkansas,Mississippi,15,13,17,20,18,23
5095,Arkansas,Monroe,16,14,18,21,18,24
5097,Arkansas,Montgomery,15,13,17,20,18,23
5099,Arkansas,Nevada,15,13,17,20,18,23
5101,Arkansas,Newton,13,11,16,19,16,22
5103,Arkansas,Ouachita,15,13,17,20,18,23
5105,Arkansas,Perry,14,12,16,19,16,22
5107,Arkansas,Phillips,17,15,19,21,18,24
5109,Arkansas,Pike,14,12,16,19,16,22
5111,Arkansas,Poinsett,16,13,18,21,18,24
5113,Arkansas,Polk,15,13,17,20,18,23
5115,Arkansas,Pope,14,12,16,20,17,22
5117,Arkansas,Prairie,13,11,15,19,16,22
5119,Arkansas,Pulaski,12,10,14,17,15,19
5121,Arkansas,Randolph,15,13,18,20,18,23
5123,Arkansas,St. Francis,17,14,19,20,17,23
5125,Arkansas,Saline,12,10,13,18,15,20
