FIPS,State,County,Drug Overdose Deaths # Drug Overdose Deaths,Drug Overdose Deaths Drug Overdose Mortality Rate,Drug Overdose Deaths 95% CI - Low,Drug Overdose Deaths 95% CI - High,Drug Overdose Deaths Drug Overdose Mortality Rate (Hispanic (all races)),Drug Overdose Deaths Drug Overdose Mortality Rate (Hispanic (all races)) 95% CI - Low,Drug Overdose Deaths Drug Overdose Mortality Rate (Hispanic (all races)) 95% CI - High,Drug Overdose Deaths Drug Overdose Mortality Rate (Non-Hispanic AIAN),Drug Overdose Deaths Drug Overdose Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Drug Overdose Deaths Drug Overdose Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Drug Overdose Deaths Drug Overdose Mortality Rate (Non-Hispanic Asian),Drug Overdose Deaths Drug Overdose Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Drug Overdose Deaths Drug Overdose Mortality Rate (Non-Hispanic Asian) 95% CI - High,Drug Overdose Deaths Drug Overdose Mortality Rate (Non-Hispanic Black),Drug Overdose Deaths Drug Overdose Mortality Rate (Non-Hispanic Black) 95% CI - Low,Drug Overdose Deaths Drug Overdose Mortality Rate (Non-Hispanic Black) 95% CI - High,Drug Overdose Deaths Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Drug Overdose Deaths Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Drug Overdose Deaths Drug Overdose Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Drug Overdose Deaths Drug Overdose Mortality Rate (Non-Hispanic 2+ races),Drug Overdose Deaths Drug Overdose Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Drug Overdose Deaths Drug Overdose Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Drug Overdose Deaths Drug Overdose Mortality Rate (Non-Hispanic White),Drug Overdose Deaths Drug Overdose Mortality Rate (Non-Hispanic White) 95% CI - Low,Drug Overdose Deaths Drug Overdose Mortality Rate (Non-Hispanic White) 95% CI - High
1000,Alabama,,3205,22,21,22,,,,,,,,,,,,,,,,,,,,,
1001,Alabama,Autauga,16,9,5,15,,,,,,,,,,,,,,,,,,,,,
1003,Alabama,Baldwin,178,26,22,30,,,,,,,,,,24,13,40,,,,,,,28,23,32
1005,Alabama,Barbour,,,,,,,,,,,,,,,,,,,,,,,,,
1007,Alabama,Bibb,15,22,13,37,,,,,,,,,,,,,,,,,,,,,
1009,Alabama,Blount,37,21,15,29,,,,,,,,,,,,,,,,,,,,,
1011,Alabama,Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Alabama,Butler,10,17,8,32,,,,,,,,,,,,,,,,,,,,,
1015,Alabama,Calhoun,80,23,18,29,,,,,,,,,,19,11,32,,,,,,,26,20,33
1017,Alabama,Chambers,15,15,8,25,,,,,,,,,,,,,,,,,,,,,
1019,Alabama,Cherokee,16,21,12,34,,,,,,,,,,,,,,,,,,,,,
1021,Alabama,Chilton,27,20,13,29,,,,,,,,,,,,,,,,,,,,,
1023,Alabama,Choctaw,,,,,,,,,,,,,,,,,,,,,,,,,
1025,Alabama,Clarke,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Alabama,Clay,,,,,,,,,,,,,,,,,,,,,,,,,
1029,Alabama,Cleburne,,,,,,,,,,,,,,,,,,,,,,,,,
1031,Alabama,Coffee,20,13,8,19,,,,,,,,,,,,,,,,,,,,,
1033,Alabama,Colbert,29,17,12,25,,,,,,,,,,,,,,,,,,,,,
1035,Alabama,Conecuh,,,,,,,,,,,,,,,,,,,,,,,,,
1037,Alabama,Coosa,,,,,,,,,,,,,,,,,,,,,,,,,
1039,Alabama,Covington,20,18,11,28,,,,,,,,,,,,,,,,,,,,,
1041,Alabama,Crenshaw,,,,,,,,,,,,,,,,,,,,,,,,,
1043,Alabama,Cullman,64,25,19,32,,,,,,,,,,,,,,,,,,,,,
1045,Alabama,Dale,19,13,8,20,,,,,,,,,,,,,,,,,,,,,
1047,Alabama,Dallas,10,9,4,17,,,,,,,,,,,,,,,,,,,,,
1049,Alabama,DeKalb,52,24,18,32,,,,,,,,,,,,,,,,,,,,,
1051,Alabama,Elmore,28,11,7,16,,,,,,,,,,,,,,,,,,,,,
1053,Alabama,Escambia,49,45,33,59,,,,,,,,,,,,,,,,,,,,,
1055,Alabama,Etowah,68,22,17,28,,,,,,,,,,,,,,,,,,,,,
1057,Alabama,Fayette,20,41,25,63,,,,,,,,,,,,,,,,,,,,,
1059,Alabama,Franklin,18,19,11,30,,,,,,,,,,,,,,,,,,,,,
1061,Alabama,Geneva,13,16,9,28,,,,,,,,,,,,,,,,,,,,,
1063,Alabama,Greene,,,,,,,,,,,,,,,,,,,,,,,,,
1065,Alabama,Hale,,,,,,,,,,,,,,,,,,,,,,,,,
1067,Alabama,Henry,,,,,,,,,,,,,,,,,,,,,,,,,
1069,Alabama,Houston,40,13,9,17,,,,,,,,,,,,,,,,,,,,,
1071,Alabama,Jackson,,,,,,,,,,,,,,,,,,,,,,,,,
1073,Alabama,Jefferson,808,41,38,44,15,8,25,,,,,,,36,32,40,,,,,,,49,45,53
1075,Alabama,Lamar,,,,,,,,,,,,,,,,,,,,,,,,,
1077,Alabama,Lauderdale,35,12,9,17,,,,,,,,,,,,,,,,,,,,,
1079,Alabama,Lawrence,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Alabama,Lee,53,10,8,14,,,,,,,,,,,,,,,,,,,,,
1083,Alabama,Limestone,15,5,3,8,,,,,,,,,,,,,,,,,,,,,
1085,Alabama,Lowndes,,,,,,,,,,,,,,,,,,,,,,,,,
1087,Alabama,Macon,,,,,,,,,,,,,,,,,,,,,,,,,
