FIPS,State,County,Diabetes Prevalence % Adults with Diabetes,Diabetes Prevalence 95% CI - Low,Diabetes Prevalence 95% CI - High,HIV Prevalence # HIV Cases,HIV Prevalence HIV Prevalence Rate
1000,Alabama,,13,12,14,14436,340
1001,Alabama,Autauga,11,9,12,108,218
1003,Alabama,Baldwin,10,8,11,356,174
1005,Alabama,Barbour,16,14,18,110,514
1007,Alabama,Bibb,12,11,14,52,269
1009,Alabama,Blount,10,9,12,40,81
1011,Alabama,Bullock,19,16,21,54,616
1013,Alabama,Butler,14,12,16,60,377
1015,Alabama,Calhoun,12,10,14,251,255
1017,Alabama,Chambers,13,12,15,106,360
1019,Alabama,Cherokee,11,10,13,29,133
1021,Alabama,Chilton,12,10,13,64,169
1023,Alabama,Choctaw,14,12,16,30,279
1025,Alabama,Clarke,14,12,16,39,202
1027,Alabama,Clay,12,10,14,21,173
1029,Alabama,Cleburne,11,9,13,11,87
1031,Alabama,Coffee,11,10,13,81,180
1033,Alabama,Colbert,11,9,13,67,137
1035,Alabama,Conecuh,15,13,17,29,299
1037,Alabama,Coosa,12,10,14,19,205
1039,Alabama,Covington,12,10,14,52,164
1041,Alabama,Crenshaw,12,10,14,27,246
1043,Alabama,Cullman,10,9,12,82,109
1045,Alabama,Dale,12,10,14,137,334
1047,Alabama,Dallas,16,14,19,131,415
1049,Alabama,DeKalb,12,11,14,66,110
1051,Alabama,Elmore,11,9,12,212,280
1053,Alabama,Escambia,14,12,16,71,230
1055,Alabama,Etowah,11,10,13,194,222
1057,Alabama,Fayette,12,10,14,13,95
1059,Alabama,Franklin,13,11,14,23,87
1061,Alabama,Geneva,13,11,15,39,172
1063,Alabama,Greene,20,18,23,31,480
1065,Alabama,Hale,16,14,18,65,531
1067,Alabama,Henry,12,10,14,43,287
1069,Alabama,Houston,12,10,14,377,418
1071,Alabama,Jackson,12,10,14,46,102
1073,Alabama,Jefferson,13,11,14,3790,678
1075,Alabama,Lamar,12,10,13,24,206
1077,Alabama,Lauderdale,11,9,13,100,123
1079,Alabama,Lawrence,12,10,14,25,89
1081,Alabama,Lee,11,10,13,330,219
1083,Alabama,Limestone,10,9,12,132,145
1085,Alabama,Lowndes,17,15,20,46,548
1087,Alabama,Macon,16,14,19,105,633
1089,Alabama,Madison,10,9,12,864,258
1091,Alabama,Marengo,15,13,17,31,194
1093,Alabama,Marion,11,10,13,39,156
1095,Alabama,Marshall,11,10,13,127,158
1097,Alabama,Mobile,14,12,15,1939,563
1099,Alabama,Monroe,15,13,17,35,208
1101,Alabama,Montgomery,14,13,17,1559,827
1103,Alabama,Morgan,11,10,13,154,148
1105,Alabama,Perry,19,17,22,30,419
1107,Alabama,Pickens,14,12,16,56,344
1109,Alabama,Pike,14,12,16,115,404
1111,Alabama,Randolph,12,10,14,19,102
1113,Alabama,Russell,14,12,16,203,420
1115,Alabama,St. Clair,10,9,12,131,168
1117,Alabama,Shelby,9,8,10,346,180
1119,Alabama,Sumter,18,16,21,37,355
1121,Alabama,Talladega,13,12,15,180,258
1123,Alabama,Tallapoosa,12,11,14,76,216
1125,Alabama,Tuscaloosa,12,11,14,566,294
1127,Alabama,Walker,11,10,13,83,152
1129,Alabama,Washington,13,12,15,15,116
1131,Alabama,Wilcox,18,16,21,21,240
1133,Alabama,Winston,11,10,13,12,59
2000,Alaska,,8,7,9,749,124
2013,Alaska,Aleutians East,13,11,15,,
2016,Alaska,Aleutians West,11,9,13,,
2020,Alaska,Anchorage,8,7,9,,
2050,Alaska,Bethel,16,14,18,,
2060,Alaska,Bristol Bay,9,7,10,,
2063,Alaska,Chugach,7,6,8,,
2066,Alaska,Copper River,9,8,10,,
2068,Alaska,Denali,8,7,10,,
2070,Alaska,Dillingham,13,11,15,,
2090,Alaska,Fairbanks North Star,8,7,9,,
2100,Alaska,Haines,9,7,10,,
2105,Alaska,Hoonah-Angoon,10,8,12,,
2110,Alaska,Juneau,7,6,8,,
2122,Alaska,Kenai Peninsula,8,7,9,,
2130,Alaska,Ketchikan Gateway,8,7,10,,
2150,Alaska,Kodiak Island,9,8,10,,
2158,Alaska,Kusilvak,20,17,22,,
2164,Alaska,Lake and Peninsula,12,10,14,,
2170,Alaska,Matanuska-Susitna,8,7,9,,
2180,Alaska,Nome,14,12,16,,
2185,Alaska,North Slope,11,9,12,,
2188,Alaska,Northwest Arctic,14,12,16,,
