FIPS,State,County,Food Insecurity # Food Insecure,Food Insecurity % Food Insecure,Limited Access to Healthy Foods # Limited Access to Healthy Foods,Limited Access to Healthy Foods % Limited Access to Healthy Foods
1000,Alabama,,746550,15,418731,9
1001,Alabama,Autauga,7770,13,7106,13
1003,Alabama,Baldwin,26830,12,14466,8
1005,Alabama,Barbour,4500,18,2865,10
1007,Alabama,Bibb,3350,15,102,0
1009,Alabama,Blount,8040,14,1440,3
1011,Alabama,Bullock,1620,16,3529,32
1013,Alabama,Butler,2640,14,1449,7
1015,Alabama,Calhoun,18210,16,18258,15
1017,Alabama,Chambers,4630,13,2772,8
1019,Alabama,Cherokee,3660,15,1302,5
1021,Alabama,Chilton,6890,15,1907,4
1023,Alabama,Choctaw,2010,16,1808,13
1025,Alabama,Clarke,3810,16,4740,18
1027,Alabama,Clay,2130,15,414,3
1029,Alabama,Cleburne,2330,16,303,2
1031,Alabama,Coffee,7770,15,4491,9
1033,Alabama,Colbert,8480,15,4806,9
1035,Alabama,Conecuh,1490,13,1758,13
1037,Alabama,Coosa,1320,13,890,8
1039,Alabama,Covington,5960,16,2070,5
1041,Alabama,Crenshaw,1770,13,1878,14
1043,Alabama,Cullman,12570,14,2287,3
1045,Alabama,Dale,7970,16,4420,9
1047,Alabama,Dallas,6320,16,3842,9
1049,Alabama,DeKalb,11500,16,,
1051,Alabama,Elmore,10140,12,3953,5
1053,Alabama,Escambia,6310,17,2175,6
1055,Alabama,Etowah,15490,15,13991,13
1057,Alabama,Fayette,2840,17,74,0
1059,Alabama,Franklin,4660,15,1818,6
1061,Alabama,Geneva,5050,19,1035,4
1063,Alabama,Greene,1670,21,2058,23
1065,Alabama,Hale,2440,16,1099,7
1067,Alabama,Henry,2170,13,1392,8
1069,Alabama,Houston,15600,15,4308,4
1071,Alabama,Jackson,8730,17,2859,5
1073,Alabama,Jefferson,85570,13,82879,13
1075,Alabama,Lamar,2350,17,61,0
1077,Alabama,Lauderdale,12740,14,5999,6
1079,Alabama,Lawrence,4970,15,1839,5
