FIPS,State,County,Child Mortality # Deaths,Child Mortality Child Mortality Rate,Child Mortality 95% CI - Low,Child Mortality 95% CI - High,Child Mortality Child Mortality Rate (Hispanic (all races)),Child Mortality Child Mortality Rate (Hispanic (all races)) 95% CI - Low,Child Mortality Child Mortality Rate (Hispanic (all races)) 95% CI - High,Child Mortality Child Mortality Rate (Non-Hispanic AIAN),Child Mortality Child Mortality Rate (Non-Hispanic AIAN) 95% CI - Low,Child Mortality Child Mortality Rate (Non-Hispanic AIAN) 95% CI - High,Child Mortality Child Mortality Rate (Non-Hispanic Asian),Child Mortality Child Mortality Rate (Non-Hispanic Asian) 95% CI - Low,Child Mortality Child Mortality Rate (Non-Hispanic Asian) 95% CI - High,Child Mortality Child Mortality Rate (Non-Hispanic Black),Child Mortality Child Mortality Rate (Non-Hispanic Black) 95% CI - Low,Child Mortality Child Mortality Rate (Non-Hispanic Black) 95% CI - High,Child Mortality Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander),Child Mortality Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - Low,Child Mortality Child Mortality Rate (Non-Hispanic Native Hawaiian and Other Pacific Islander) 95% CI - High,Child Mortality Child Mortality Rate (Non-Hispanic 2+ races),Child Mortality Child Mortality Rate (Non-Hispanic 2+ races) 95% CI - Low,Child Mortality Child Mortality Rate (Non-Hispanic 2+ races) 95% CI - High,Child Mortality Child Mortality Rate (Non-Hispanic White),Child Mortality Child Mortality Rate (Non-Hispanic White) 95% CI - Low,Child Mortality Child Mortality Rate (Non-Hispanic White) 95% CI - High
1000,Alabama,,3575,73,71,75,,,,,,,,,,,,,,,,,,,,,
1001,Alabama,Autauga,34,59,41,82,,,,,,,,,,94,49,164,,,,,,,56,35,84
1003,Alabama,Baldwin,115,54,44,64,,,,,,,,,,100,62,151,,,,,,,51,41,64
1005,Alabama,Barbour,18,80,47,126,,,,,,,,,,,,,,,,,,,,,
1007,Alabama,Bibb,20,101,62,156,,,,,,,,,,,,,,,,,,,,,
1009,Alabama,Blount,36,62,43,85,,,,,,,,,,,,,,,,,,,,,
1011,Alabama,Bullock,,,,,,,,,,,,,,,,,,,,,,,,,
1013,Alabama,Butler,14,74,41,125,,,,,,,,,,,,,,,,,,,,,
1015,Alabama,Calhoun,73,66,51,82,,,,,,,,,,80,50,122,,,,,,,60,43,81
1017,Alabama,Chambers,31,102,69,144,,,,,,,,,,,,,,,,,,,,,
1019,Alabama,Cherokee,19,88,53,138,,,,,,,,,,,,,,,,,,,,,
1021,Alabama,Chilton,27,58,38,85,,,,,,,,,,,,,,,,,,,,,
1023,Alabama,Choctaw,10,91,43,167,,,,,,,,,,,,,,,,,,,,,
1025,Alabama,Clarke,27,121,80,177,,,,,,,,,,129,70,216,,,,,,,108,54,193
1027,Alabama,Clay,,,,,,,,,,,,,,,,,,,,,,,,,
1029,Alabama,Cleburne,13,87,46,149,,,,,,,,,,,,,,,,,,,,,
1031,Alabama,Coffee,35,64,45,89,,,,,,,,,,,,,,,,,,,,,
1033,Alabama,Colbert,38,74,52,102,,,,,,,,,,153,81,261,,,,,,,62,39,93
1035,Alabama,Conecuh,15,140,79,231,,,,,,,,,,,,,,,,,,,,,
1037,Alabama,Coosa,,,,,,,,,,,,,,,,,,,,,,,,,
1039,Alabama,Covington,28,79,52,114,,,,,,,,,,,,,,,,,,,,,
1041,Alabama,Crenshaw,,,,,,,,,,,,,,,,,,,,,,,,,
1043,Alabama,Cullman,43,51,37,69,,,,,,,,,,,,,,,,,,,,,
